Country,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Aruba,5.12965708792277,1.58786875286513,1.51982143378811,,
Africa Eastern and Southern,0.187859711602755,-0.674532556274414,-0.144709797664106,-0.185405595367016,-0.544414098800544
Afghanistan,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424
Africa Western and Central,0.0074023590114222,-2.53356229121614,-0.390664943817995,0.241530875100992,0.492953120389345
Angola,-2.46873730689103,-5.81618754909985,-3.40998337557743,-5.16211179066241,-3.7956079652012
Albania,2.51682705063622,3.48029321692431,3.89774060579526,4.2763256546607,2.54935857948763
Andorra,3.02081678005885,4.64621154922207,0.734439351000333,1.57425431733354,1.83306059347608
Arab World,0.888157831786017,1.15295877026209,-1.00635785647198,0.468786241052925,0.137964422114464
United Arab Emirates,4.50781768694726,1.90520573929507,1.01143077389321,-0.320590314360061,1.93443148259161
Argentina,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.99438788864292
Armenia,2.7359180235262,-0.161329865469654,7.18452239016769,4.9522308356251,7.38219727969849
American Samoa,3.12188089164911,-1.56120490141551,-6.78354801701121,2.95991055574585,-0.219737965386599
Antigua and Barbuda,2.70571843639473,4.43725332350857,2.16611404366698,5.93227628165489,3.96278455965997
Australia,0.712256477964445,1.1493474640983,0.587161102950546,1.302840712022,0.571102988410345
Austria,-0.111540189504495,0.892469139632297,1.55072408627153,2.00355252390945,1.04090811975335
Azerbaijan,-0.103121433889072,-4.1771717983498,-0.778416065787681,0.624486167739761,1.63585041443849
Burundi,-6.8864045414511,-3.70833487696058,-2.64677820864496,-1.5575434549573,-1.29476823572824
Belgium,1.45189336758756,0.755268919102846,1.22886623616918,1.35679144535901,1.59897001717071
Benin,-1.00423453913564,0.525130743148708,2.80528150351485,3.81878334277161,4.00308913488962
Burkina Faso,0.911075762596241,2.91366558534006,3.17736075265671,3.59163480841336,2.72407212531654
Bangladesh,5.36686615945385,5.94667828426267,6.1364783118442,6.73329863316326,7.04528876097589
Bulgaria,4.09010768554509,3.76506855458946,3.51553833482474,3.42872477679667,4.77250206361659
Bahrain,-0.187595037097779,-0.359639348486056,-0.475473381759144,-2.76780486148901,-2.32252085763781
"Bahamas, The",0.619177352382394,-0.894872291179823,0.606496417794375,1.73146903767967,-0.293225395122633
Bosnia and Herzegovina,4.67468789470115,4.46265636890475,4.24050974081906,4.60162519334784,3.5453373948871
Belarus,-3.95725125382174,-2.61191380516274,2.64480752237135,3.36999151883471,1.60481819172
Belize,0.487997241962574,-2.06106662075794,-0.184795030774069,0.946112739484732,-0.135066237124235
Bermuda,0.622598426821042,0.39386919987983,4.71610220533942,-0.504455912272903,0.469320877880691
Bolivia,3.28269893653157,2.73197634742475,2.69615523107971,2.75216346209768,0.796516093647838
Brazil,-4.35147506604415,-4.06941092381417,0.508337980314494,0.988960032623851,0.651853445818901
Barbados,2.26845526748964,2.30981203220082,0.323816531140466,-0.722886472225468,-0.228750840137266
Brunei Darussalam,-1.62537351861698,-3.61089864285825,0.209044441908858,-0.992460952847097,2.82969002187825
Bhutan,5.34825820294729,6.8323670597098,3.40861136657622,1.84848775239858,4.54973728489323
Botswana,-7.14464380174003,5.09386203389349,1.8738815256832,1.72043437304123,0.773637549401784
Central African Republic,3.66370430293424,3.72277787403763,3.20045251851401,2.22467545139492,1.28946136700006
Canada,-0.089285801148975,-0.135842621321913,1.81111454911982,1.33547089037103,0.448132391437483
Central Europe and the Baltics,4.18749728026775,3.3341439389951,5.13807439416311,4.69665312019339,4.21435963864975
Switzerland,0.507122105703075,0.9368837412635,0.641284065674213,2.16156965343124,0.491609144873692
Channel Islands,,,,,
Chile,1.10598439797978,0.372098730561632,-0.247251358761787,2.28112103495536,-0.245035756890886
China,6.42073647723056,6.23821544775225,6.30186310052261,6.25170055569883,5.57453312716906
Cote d'Ivoire,4.52428897259003,4.49518428080961,4.65889956449088,4.1966214196201,3.5576825008911
Cameroon,2.87078784808867,1.79128797729706,0.84572071249174,1.27506372633268,0.835333750899835
"Congo, Dem. Rep.",3.44259805623153,-0.907723599820514,0.401473697563162,2.46109271097485,1.11015954346362
"Congo, Rep.",-5.91664565572746,-13.0204296236603,-6.8092164100262,-7.23155796221506,-2.61495233462033
Colombia,1.75788371739232,0.70068863785022,-0.163409332080448,1.01285604228866,1.88927448744572
Comoros,-1.23086046150448,0.962061037426224,1.48233932576038,1.347332748425,-0.46527893172582
Cabo Verde,-0.23738747850534,3.44413344235974,2.47516943136586,3.32680146934304,4.48183015631996
Costa Rica,2.53138328642916,3.10830677496124,3.09256633767137,1.60014007285719,1.28151371094327
Caribbean small states,0.386837467820115,-1.78374905437703,-0.534163387782698,1.2634535109904,0.0391755342826769
Cuba,4.27336160897438,0.422151606764217,1.7718207232533,2.25848146064915,-0.123773041706542
Curacao,-1.03588398573132,-2.03087910494624,-2.05324118036593,-1.65097683750417,-2.23729770711994
Cayman Islands,1.37862026256323,1.84890054164606,1.85236328568278,2.91163927489984,2.57669161664211
Cyprus,3.97337740749985,5.96738631417672,4.87248695745734,4.41138580684543,3.86453264067046
Czech Republic,5.18140265379816,2.34055226080498,4.88972204225595,2.85410811330968,2.62455743475904
Germany,0.617105353219898,1.40810207548923,2.29720604740949,0.782690047310425,0.827864779161388
Djibouti,5.89435204393692,4.91715159071116,3.73033779991678,6.73190060418814,6.15054746812686
Dominica,-2.80595187225674,2.36664739005607,-6.99897579452575,1.97741396289945,7.29874797406434
Denmark,1.62216625804921,2.44336887407066,2.16235511316152,1.4850851572351,1.7496140950622
Dominican Republic,5.71551877791849,5.4686348954891,3.5180711549784,5.83453748755498,3.95840417453633
Algeria,1.60049369689222,1.10457015563286,-0.750456691887635,-0.909245791015422,-0.934555885396762
East Asia & Pacific (excluding high income),5.86799177010589,5.78276716248109,5.8942762640764,5.81737395376751,5.1711364862513
Early-demographic dividend,3.04525550386934,3.27925325440341,3.18909081643646,2.33108259021168,0.995396758831475
East Asia & Pacific,3.95913976981777,3.92742919293036,4.31112815066379,4.09018111571852,3.51155498003493
Europe & Central Asia (excluding high income),0.394147553969376,1.147477850127,3.54859769375892,2.72435232430711,1.85565939695003
Europe & Central Asia,1.6337005331749,1.49959570744515,2.39839476552328,1.79184549775178,1.4970541774606
Ecuador,-1.50763431990521,-2.89801879626653,0.573913173998349,-0.483429077922167,-1.65324963404186
"Egypt, Arab Rep.",2.09373579415812,2.13201530012972,2.02557995113628,3.19442074906497,3.49204687443208
Euro area,1.7540284430689,1.56734835384,2.39252240324952,1.60574397322935,1.47504788990523
Eritrea,,,,,
Spain,3.91576845137082,2.94434855983185,2.73236058269681,1.84175785793946,1.35796294893549
Estonia,1.78627469426176,3.12553830458751,5.66403908236126,3.77202331144019,3.71028576383254
Ethiopia,7.39146886281171,6.50971203723924,6.68455961774448,4.0539401511658,5.60436973620631
European Union,2.0882242112399,1.79216797993213,2.65268775499206,1.89914754810117,1.75286635390606
Fragile and conflict affected situations,-0.755258962035981,-0.123321530126319,-0.335003939929067,0.485179888214432,0.757932906292424
Finland,0.213029419665261,2.5163798952421,2.95053137282473,1.00788071036347,1.10927871251762
Fiji,4.23833189405605,2.00247544692745,4.74654991827457,3.10381043650811,-1.16876751454872
France,0.754024352327519,0.829056664516742,1.99499844733441,1.58587880599642,1.62035845279964
Faroe Islands,,,,,
"Micronesia, Fed. Sts.",3.23635458122331,-0.316499162247752,1.53432253315657,-0.837259215875989,0.133812944929986
Gabon,0.471417196447604,-0.969040474153701,-2.29754116776253,-1.75350522651408,1.37116920912574
United Kingdom,1.81266163797693,1.4913642994284,1.44292936752505,1.03685521942496,1.0999959123708
Georgia,2.86009424289855,2.84490205450567,4.82856985509574,4.88385492937473,5.16261881694761
Ghana,-0.170049024853114,1.07696052085518,5.75434851659537,3.89661430974051,4.22918126352458
Gibraltar,,,,,
Guinea,1.27274453676185,7.92853485004899,7.29211181459284,3.38751521788826,2.69338419991574
"Gambia, The",0.973886803537113,-1.05801863935166,1.75610362012779,4.12181776319187,3.09684344959481
Guinea-Bissau,3.39863032690428,3.56652184239847,3.27071342766881,-1.21055169342024,1.96420146424497
Equatorial Guinea,-12.711339203906,-12.3135934211572,-9.16772469815358,-9.6002319632794,-9.23893172984212
Greece,0.463652786270188,-0.0724245841387301,1.29229029026882,1.87490316346144,1.91089104761153
Grenada,5.76041123467368,3.11869812221369,3.86313919714306,3.76129237119484,0.238209642532624
Greenland,-2.2149188822392,4.54780858066064,0.0776647739674274,2.11671946135704,1.31347118082863
Guatemala,2.34629514622338,0.989365749396498,1.41564884120322,1.68170693128233,2.25871189837592
Guam,0.299915104837339,-0.492462435137583,0.0714629202402932,-1.61196506198668,1.60428373280827
Guyana,0.154585160749249,3.27903020608493,3.21852430987543,3.93302457193192,4.84549740758746
