Country,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Bulgaria,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,4.09010768554509,3.76506855458946,3.51553833482474,3.42872477679667,4.77250206361659
Bahrain,22634.0856475674,22608.4525623673,23742.9373424159,24085.955988096,23551.9300857404,-0.187595037097779,-0.359639348486056,-0.475473381759144,-2.76780486148901,-2.32252085763781
"Bahamas, The",31776.0555852485,31732.9191396131,32376.5091722572,33290.028135413,33799.4176940891,0.619177352382394,-0.894872291179823,0.606496417794375,1.73146903767967,-0.293225395122633
Bosnia and Herzegovina,4729.68995905382,4994.97155093444,5394.26894391382,6070.34908129292,6119.76234462222,4.67468789470115,4.46265636890475,4.24050974081906,4.60162519334784,3.5453373948871
Belarus,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,-3.95725125382174,-2.61191380516274,2.64480752237135,3.36999151883471,1.60481819172
Belize,4770.23265563888,4856.97324853112,4945.85769867226,5001.42215663433,5078.80994441772,0.487997241962574,-2.06106662075794,-0.184795030774069,0.946112739484732,-0.135066237124235
Bermuda,102005.62564189,106885.878489327,111820.581466347,113023.185594268,117098.446325474,0.622598426821042,0.39386919987983,4.71610220533942,-0.504455912272903,0.469320877880691
Bolivia,3035.97165489786,3076.65643989367,3351.12434384125,3548.59078021377,3552.06814321502,3.28269893653157,2.73197634742475,2.69615523107971,2.75216346209768,0.796516093647838
Brazil,8813.98980647828,8710.06328995352,9928.67589653405,9151.38173161536,8897.55296585529,-4.35147506604415,-4.06941092381417,0.508337980314494,0.988960032623851,0.651853445818901
Barbados,16524.899501274,16900.0482858522,17391.6689084614,17745.2553725928,18148.4978451054,2.26845526748964,2.30981203220082,0.323816531140466,-0.722886472225468,-0.228750840137266
Brunei Darussalam,31164.0362528468,27158.4056535724,28571.608291419,31628.4762566009,31085.9619255901,-1.62537351861698,-3.61089864285825,0.209044441908858,-0.992460952847097,2.82969002187825
Bhutan,2752.63017233678,2930.5749227006,3286.59674376682,3243.47743748718,3322.86332871934,5.34825820294729,6.8323670597098,3.40861136657622,1.84848775239858,4.54973728489323
Botswana,6402.91018338391,6982.91749241303,7296.09214157008,7503.8785883646,7203.06422122998,-7.14464380174003,5.09386203389349,1.8738815256832,1.72043437304123,0.773637549401784
Central African Republic,377.422917680195,402.191645130502,450.900657858547,475.953813864813,467.908032277798,3.66370430293424,3.72277787403763,3.20045251851401,2.22467545139492,1.28946136700006
Canada,43596.1355365546,42315.6037056806,45129.3564395662,46548.5203600809,46338.3409560127,-0.089285801148975,-0.135842621321913,1.81111454911982,1.33547089037103,0.448132391437483
