Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Panama,6.786,6.701,6.4520001411438,6.43,6.321,2.98,3.26,3.86,3.83,4.73,13630.3011411301,14343.9802572159,15146.4085115348,15544.9990788449,15774.2549406847,3.94283658821021,3.17045468651418,3.79946361861217,1.94510324446577,1.29253637338742
Germany,6.75,6.994,6.95100021362305,6.965,6.985,4.62,4.12,3.75,3.38,3.14,41086.7296737253,42107.5172703074,44542.2952040833,47950.1808142041,46794.8992915603,0.617105353219898,1.40810207548923,2.29720604740949,0.782690047310425,0.827864779161388
Chile,6.67,6.705,6.65199995040894,6.476,6.444,6.51,6.74,6.96,7.23,7.29,13574.1692377524,13753.5921485096,14998.8170563218,15888.144355397,14741.7144039936,1.10598439797978,0.372098730561632,-0.247251358761787,2.28112103495536,-0.245035756890886
Qatar,6.611,6.375,6.375,6.374,6.374,0.17,0.15,0.14,0.11,0.1,63039.1126258027,57162.9680117767,59124.8672712073,65907.9484350408,62276.4286944365,0.404893040090641,-0.37872450351378,-4.04077563441363,-0.837914028240689,-1.1032324087458
France,6.575,6.478,6.44199991226196,6.489,6.592,10.35,10.05,9.41,9.02,8.41,36638.184929157,37037.3741861219,38685.2584944953,41572.4850099629,40578.6442850534,0.754024352327519,0.829056664516742,1.99499844733441,1.58587880599642,1.62035845279964
Argentina,6.574,6.65,6.59899997711182,6.388,6.086,7.52,8.11,8.35,9.22,9.84,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,10056.637940265,1.62966427946263,-3.11006389821465,1.75764818265694,-3.60160975657155,-2.99438788864292
Czech Republic,6.505,6.596,6.60900020599365,6.711,6.852,5.05,3.95,2.89,2.24,2.01,17829.6983223668,18575.2320271915,20636.199952435,23419.7356136502,23660.1488068317,5.18140265379816,2.34055226080498,4.88972204225595,2.85410811330968,2.62455743475904
Uruguay,6.485,6.545,6.4539999961853,6.379,6.293,7.49,7.84,7.89,8.34,8.88,15613.7459681824,16715.6334746253,18690.8938401411,18703.8602924478,17688.01500769,0.0302704170296124,1.32968121444294,1.25792913208215,0.109558005853614,-0.0101989840723036
Colombia,6.477,6.481,6.35699987411499,6.26,6.125,8.3,8.69,8.87,9.11,9.96,6175.8760297026,5870.77795724165,6376.70671552601,6729.58333198168,6424.9794924083,1.75788371739232,0.70068863785022,-0.163409332080448,1.01285604228866,1.88927448744572
Thailand,6.455,6.474,6.42399978637695,6.072,6.008,0.6,0.69,0.83,0.77,0.72,5840.05306687798,5993.30551610045,6593.81835157138,7296.87960772339,7817.00967118918,2.72014084683276,3.05004792655492,3.81867425078065,3.86148228881737,1.97689245743686
Saudi Arabia,6.411,6.379,6.3439998626709,6.371,6.375,5.59,5.65,5.89,6.04,5.67,20627.9269288204,19878.7638365016,20802.4663134648,23337.0175494347,23139.7979808237,1.47706007191984,-0.603769618995187,-2.71382744999026,0.605723335699551,-1.32503213598616
Spain,6.329,6.361,6.40299987792969,6.31,6.354,22.06,19.63,17.22,15.25,14.1,25732.0183647454,26505.3432155204,28100.5862419453,30349.7520984361,29555.3156985079,3.91576845137082,2.94434855983185,2.73236058269681,1.84175785793946,1.35796294893549
Malta,6.302,6.488,6.52699995040894,6.627,6.726,5.38,4.69,4.0,3.66,3.62,24921.6036820869,25741.4460613677,28250.6977747589,30672.2922439038,30186.1959621979,7.02341289238701,1.73573001006562,5.19857739445129,1.56979969325337,1.47093023044587
Kuwait,6.295,6.239,6.10500001907349,6.083,6.021,2.2,2.16,2.2,2.16,2.17,29869.552753237,27653.1576200281,29759.4674745278,33399.0604365842,32373.2511220507,-3.20057857283761,-0.228710261590166,-7.04349989138754,-0.741247102578228,-1.23785408626549
El Salvador,6.13,6.068,6.00299978256226,6.167,6.253,4.0,4.42,4.39,4.01,4.17,3705.57970353453,3805.99568574434,3910.25440332717,4052.62477533742,4167.73093878563,1.91334416315701,2.04553340356148,1.73469434223202,1.9119532499339,1.86206594609182
Guatemala,6.123,6.324,6.4539999961853,6.382,6.436,2.51,2.58,2.46,2.28,2.19,3994.63691288475,4173.30166619474,4454.04814983548,4478.42464550944,4638.63494319511,2.34629514622338,0.989365749396498,1.41564884120322,1.68170693128233,2.25871189837592
Uzbekistan,6.003,5.987,5.97100019454956,6.096,6.174,5.2,5.2,5.8,5.84,5.85,2753.97107219949,2704.67718798168,1916.76464246779,1597.0683366109,1784.00981608195,5.36481697232252,4.10607276057955,2.6524847322477,3.54079676338269,3.74451756655768
Japan,5.987,5.921,5.92000007629395,5.915,5.886,3.4,3.1,2.8,2.4,2.4,34960.6393843385,39400.7393559257,38891.0862716856,39808.1685608793,40777.6086970512,1.66846511711745,0.870046944792136,1.84270905806171,0.762860909889355,0.480088200168893
Ecuador,5.975,5.976,6.00799989700317,5.973,6.028,3.62,4.6,3.84,3.53,3.81,6124.49088707134,6060.09296156791,6213.50312736888,6295.93466163992,6222.52465327248,-1.50763431990521,-2.89801879626653,0.573913173998349,-0.483429077922167,-1.65324963404186
Bahrain,5.96,6.218,6.08699989318848,6.105,6.199,1.2,1.19,1.18,1.2,1.2,22634.0856475674,22608.4525623673,23742.9373424159,24085.955988096,23551.9300857404,-0.187595037097779,-0.359639348486056,-0.475473381759144,-2.76780486148901,-2.32252085763781
Italy,5.948,5.977,5.96400022506714,6.0,6.223,11.9,11.69,11.21,10.61,9.95,30230.2263021296,30939.7142462298,32326.6742113994,34605.2627252058,33641.6337513622,0.875477401786128,1.46569044434084,1.82033385192226,1.11781661979235,1.57473771632701
Bolivia,5.89,5.822,5.82299995422363,5.752,5.779,3.11,3.5,3.65,3.52,3.82,3035.97165489786,3076.65643989367,3351.12434384125,3548.59078021377,3552.06814321502,3.28269893653157,2.73197634742475,2.69615523107971,2.75216346209768,0.796516093647838
Moldova,5.889,5.897,5.83799982070923,5.64,5.529,4.7,4.02,4.1,4.11,5.1,2732.45711293733,2880.43928129296,3509.69345025814,4230.3630367862,4491.6888269382,0.45004942257944,5.61462069937306,6.4771604801543,6.10943256779568,5.36569849707125
Paraguay,5.878,5.538,5.49300003051758,5.681,5.743,4.56,5.25,4.61,6.22,6.59,5413.77602061858,5324.60906777777,5678.8699722,5782.78454981286,5380.9633218413,1.58379371049865,2.89685661490968,3.44894824730363,1.88363182374449,-1.65407082014168
Kazakhstan,5.855,5.919,5.81899976730347,5.79,5.809,4.93,4.96,4.9,4.85,4.8,10510.7718884149,7714.84184376024,9247.58133129626,9812.62637077396,9812.5958082732,-0.268267117815142,-0.327514633495582,2.69343213409591,2.74053637969105,3.16101154004124
Slovenia,5.848,5.768,5.75799989700317,5.948,6.118,8.96,8.0,6.56,5.11,4.45,20881.7669299329,21663.643413767,23455.9447259222,26104.1027889949,25942.9547741436,2.13325802761534,3.11634660116351,4.74710618321161,4.04458737932572,2.53409090453896
Lithuania,5.833,5.813,5.90199995040894,5.952,6.149,9.12,7.86,7.07,6.15,6.26,14258.2293345128,14998.1250595137,16843.699654691,19176.812150505,19575.768481407,2.98891297061452,3.82984126408542,5.75104655735379,4.99035385554106,4.85094975391134
Nicaragua,5.828,5.992,6.07100009918213,6.141,6.105,4.7,3.9,3.3,5.2,5.21,2049.8516660809,2107.5740596602,2159.15671369193,2014.57518879047,1926.69969398276,3.43655908431992,3.22379915267035,3.30721604895172,-4.56925348119202,-4.85210864564721
Peru,5.824,5.743,5.71500015258789,5.663,5.697,3.27,3.74,3.69,3.49,3.38,6229.10067398112,6204.9964574796,6710.50760214164,6957.79341149359,7027.61220697723,1.96334440822348,2.42290485450216,0.829126308957157,2.19794844938977,0.565474347551628
Belarus,5.813,5.802,5.56899976730347,5.483,5.323,5.84,5.84,5.65,4.76,4.16,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284,6837.71782606351,-3.95725125382174,-2.61191380516274,2.64480752237135,3.36999151883471,1.60481819172
Poland,5.791,5.835,5.97300004959106,6.123,6.182,7.5,6.16,4.89,3.85,3.28,12578.4954734362,12447.4395912808,13864.6817579973,15468.4822194105,15732.2031311754,4.30581423680569,3.1860709143334,4.81757385257684,5.35391420222633,4.77053944228503
Malaysia,5.77,6.005,6.08400011062622,6.322,5.339,3.1,3.44,3.41,3.3,3.26,9955.24272167626,9817.78709031009,10259.3048064811,11380.0820900475,11432.8229973018,3.68772164252655,3.04160128473568,4.38394395688798,3.43515895806416,3.0608088603617
Croatia,5.759,5.488,5.29300022125244,5.321,5.432,16.18,13.1,11.21,8.43,6.62,11933.3773788281,12527.7398569824,13629.289592247,15227.5600968096,15311.766903695,3.37409280662597,4.25801634230318,4.6631756701545,3.82352734471229,4.05697922398092
Libya,5.754,5.615,5.52500009536743,5.566,5.525,19.53,19.53,19.37,19.45,19.66,4337.91913919348,4035.19680169994,5756.69932474775,7877.12460954542,7685.94813248318,-9.6611400412838,-3.9011207222389,24.9760381703571,13.4460867409219,1.03987886556195
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89,13.51,13.19,11.63,9.1,7.69,4907.927415189,4843.74989999401,5070.0995030616,5359.99378939638,5369.4983713849,0.366894819691765,0.844390413700609,0.492076589718863,1.40370907994962,0.432912116838111
Cyprus,5.689,5.546,5.62099981307983,5.762,6.046,14.91,12.95,11.05,8.37,7.07,23408.3366816249,24605.9208328767,26608.8750916456,29334.1109348657,29206.0767190775,3.97337740749985,5.96738631417672,4.87248695745734,4.41138580684543,3.86453264067046
Algeria,5.605,6.355,5.87200021743774,5.295,5.211,11.21,10.2,10.33,10.42,10.51,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917,3989.66827645236,1.60049369689222,1.10457015563286,-0.750456691887635,-0.909245791015422,-0.934555885396762
