Country,Happiness_Score_2015,Happiness_Score_2016,Happiness_Score_2017,Happiness_Score_2018,Happiness_Score_2019,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019,GDP_Per_Capita_2015,GDP_Per_Capita_2016,GDP_Per_Capita_2017,GDP_Per_Capita_2018,GDP_Per_Capita_2019,GDP_Per_Capita_Growth_2015,GDP_Per_Capita_Growth_2016,GDP_Per_Capita_Growth_2017,GDP_Per_Capita_Growth_2018,GDP_Per_Capita_Growth_2019
Sierra Leone,4.507,4.635,4.70900011062622,4.571,4.374,4.74,4.66,4.66,4.66,4.65,588.228862794816,501.415165523953,496.682294873131,533.991533265984,521.754836722241,-22.3120965034419,3.78444419301765,1.97222909064014,1.27738952655478,3.05763409073658
Mauritania,4.436,4.201,4.29199981689453,4.356,4.49,10.14,10.26,10.34,10.39,10.39,1524.07175254803,1536.85488788877,1587.61126325063,1670.2041645288,1743.30290093768,2.37076098298319,-1.59018303722354,3.31636794202008,1.66083209679408,2.89992206394601
Kenya,4.419,4.356,4.55299997329712,4.41,4.509,2.78,2.76,3.51,4.25,5.01,1464.55400904329,1525.23519224992,1633.49121639293,1794.0911754468,1912.64786680344,2.38448726521699,1.7209860090004,1.39771664690468,3.22142919254497,2.62208684536643
Armenia,4.35,4.36,4.37599992752075,4.321,4.559,18.26,17.62,17.7,18.97,18.3,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145,4604.64632355695,2.7359180235262,-0.161329865469654,7.18452239016769,4.9522308356251,7.38219727969849
Botswana,4.332,3.974,3.76600003242493,3.59,3.488,20.57,21.03,21.57,22.07,22.61,6402.91018338391,6982.91749241303,7296.09214157008,7503.8785883646,7203.06422122998,-7.14464380174003,5.09386203389349,1.8738815256832,1.72043437304123,0.773637549401784
Myanmar,4.307,4.395,4.54500007629395,4.308,4.36,0.77,1.18,1.56,0.87,0.5,1196.74335747421,1136.61066545868,1151.11446155062,1250.17369130663,1271.1115749486,2.49328468190495,9.74847882390068,5.08183410223336,5.759520090802,6.08461268337797
Georgia,4.297,4.252,4.28599977493286,4.34,4.519,16.51,16.6,13.94,12.67,11.57,4014.18594419329,4062.16988757379,4357.00093554628,4722.78778321766,4697.98365238984,2.86009424289855,2.84490205450567,4.82856985509574,4.88385492937473,5.16261881694761
Malawi,4.292,4.156,3.97000002861023,3.587,3.41,5.86,5.82,5.76,5.76,5.75,380.596987683774,315.777987100071,506.137294436399,544.593435393373,591.846389556646,0.0021044705434007,-0.255665063338284,1.26357063864582,1.67003366205537,2.69981228160685
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.366,4.52,4.24,4.05,4.32,4.35,3843.78067184442,3886.29150165239,4077.04384087488,4059.20822984947,3852.26560287415,4.04623956631545,3.33842975590277,2.41409866202615,2.1949597721197,1.63141197879588
Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,3.55,3.58,3.6,3.62,3.64,1382.5097900241,1413.2559568153,1469.44749980724,1585.24053445546,1533.09568807789,2.87078784808867,1.79128797729706,0.84572071249174,1.27506372633268,0.835333750899835
Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,9.14,7.57,6.16,5.21,4.23,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,4.09010768554509,3.76506855458946,3.51553833482474,3.42872477679667,4.77250206361659
Mali,3.995,4.073,4.19000005722046,4.447,4.39,7.73,7.57,7.41,7.43,7.44,751.47288662264,780.723569528087,830.021515346886,894.804776510366,879.043187300812,3.09991301016213,2.74912773755298,2.19402842275547,1.64255983514556,1.66395525277679
Uganda,3.931,3.739,4.08099985122681,4.161,4.189,1.91,1.92,1.93,1.92,1.92,847.267628934656,736.559847412133,746.830752928351,770.600784343292,798.585734133959,1.57225486342148,1.01851489431277,-0.670054581381933,2.41677913677158,2.73474072805178
Senegal,3.904,4.219,4.53499984741211,4.631,4.681,6.76,4.46,3.69,3.28,2.86,1219.24941513302,1269.90329385985,1361.70197218375,1458.06909258145,1430.14825900162,3.42150148451282,3.41182379733205,4.4411878629361,3.29534615117551,1.57049679945986
Gabon,3.896,4.121,4.46500015258789,4.758,4.799,20.61,20.67,20.72,20.75,20.74,7384.70070393071,6984.41971208387,7230.43491161979,7959.00726736376,7766.99655422948,0.471417196447604,-0.969040474153701,-2.29754116776253,-1.75350522651408,1.37116920912574
Niger,3.845,3.856,4.02799987792969,4.166,4.628,0.53,0.53,0.54,0.55,0.55,484.153137350801,500.214911266535,517.771572271371,570.723921953592,554.099389259855,0.418328365503129,1.7372252956601,1.04675078565515,3.19595439522324,1.99706262597826
Cambodia,3.819,3.907,4.16800022125244,4.433,4.7,0.39,0.72,0.14,0.14,0.15,1162.90499489402,1269.59149895246,1385.26006616114,1512.12698889384,1643.12138876539,5.26408933922833,5.27260897558848,5.37202162418909,5.87938583851239,5.51680828875165
Tanzania,3.781,3.666,3.34899997711182,3.303,3.231,2.14,2.16,2.18,2.21,2.22,947.933351658407,966.503016569611,1004.90658838695,1042.8387560513,1085.88486002476,3.0275004785058,3.71677119545821,3.64371830176266,2.35508345813247,2.71933648559543
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933,1.79,1.8,1.82,1.84,1.86,467.235431614667,475.955556826336,515.293323373233,523.94597141966,522.989524271408,0.390866453574574,1.23486640431807,1.185080524299,0.476010182448789,1.67412016147502
Chad,3.667,3.763,3.93600010871887,4.301,4.35,1.07,1.1,1.12,1.13,1.12,776.019752284262,693.449767448537,665.948884859102,726.151007088549,709.54004317463,-0.490723968196917,-9.15694224466328,-5.92875313174368,-0.674920920026565,0.209664512309331
Guinea,3.656,3.607,3.50699996948242,3.964,4.534,4.92,4.88,4.91,4.98,5.02,769.255475432822,732.291511901662,855.575270552124,955.111281136711,1058.14336817356,1.27274453676185,7.92853485004899,7.29211181459284,3.38751521788826,2.69338419991574
Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587,4.32,4.43,4.56,4.69,4.69,653.32726813947,688.250696258197,734.996267960528,804.500537821516,796.115206827676,0.911075762596241,2.91366558534006,3.17736075265671,3.59163480841336,2.72407212531654
Afghanistan,3.575,3.36,3.79399991035461,3.632,3.203,11.13,11.16,11.18,11.15,11.22,556.007220861443,512.012778129357,516.679862210543,485.668418729808,494.179349886029,-1.62285718631547,-0.541416195952564,0.0647641950115201,-1.19490038335884,1.53563667424
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334,1.15,1.14,1.14,1.11,1.1,751.077392617885,744.760748755977,772.316989145919,783.637162814808,820.149288558594,6.1238343540962,3.24843958156001,1.26747309893398,5.74614049530018,6.64358394861513
Benin,3.34,3.484,3.65700006484985,4.141,4.883,2.01,1.83,1.64,1.47,1.47,1076.79669785585,1087.28733148547,1136.59387178448,1241.82529800958,1219.51550596905,-1.00423453913564,0.525130743148708,2.80528150351485,3.81878334277161,4.00308913488962
Burundi,2.905,2.905,2.90499997138977,2.905,3.775,1.6,1.59,1.59,1.59,1.59,305.549652502657,260.56522079627,253.826354063895,238.783467020173,228.213589244227,-6.8864045414511,-3.70833487696058,-2.64677820864496,-1.5575434549573,-1.29476823572824
Togo,2.839,3.303,3.49499988555908,3.999,4.085,2.2,2.97,3.74,3.73,3.72,570.909967175308,803.1518934041,830.745276651438,901.523016898937,893.352454121675,3.06917664636548,2.93357911261434,1.79243016113288,2.43974208945798,2.93818166189259
