Country,Unemployment_Rate_2015,Unemployment_Rate_2016,Unemployment_Rate_2017,Unemployment_Rate_2018,Unemployment_Rate_2019
Sri Lanka,4.52,4.24,4.05,4.32,4.35
Lower middle income,5.17,5.26,5.25,5.21,5.03
Low & middle income,5.39,5.55,5.55,5.46,5.49
Lesotho,23.84,23.48,23.2,22.81,22.44
Late-demographic dividend,5.08,5.24,5.23,5.01,5.15
Lithuania,9.12,7.86,7.07,6.15,6.26
Luxembourg,6.67,6.29,5.52,5.59,5.59
Latvia,9.87,9.64,8.72,7.41,6.31
"Macao SAR, China",1.81,1.94,1.99,1.83,1.75
Morocco,9.46,9.3,9.24,9.27,9.28
Moldova,4.7,4.02,4.1,4.11,5.1
Madagascar,1.79,1.8,1.82,1.84,1.86
Maldives,6.93,6.12,5.87,5.62,5.34
Middle East & North Africa,10.18,10.24,10.26,9.88,9.15
Mexico,4.31,3.86,3.42,3.28,3.48
Middle income,5.42,5.59,5.6,5.5,5.53
North Macedonia,26.07,23.72,22.38,20.74,17.26
Mali,7.73,7.57,7.41,7.43,7.44
Malta,5.38,4.69,4.0,3.66,3.62
Myanmar,0.77,1.18,1.56,0.87,0.5
Middle East & North Africa (excluding high income),11.93,12.05,12.07,11.62,10.77
Montenegro,17.54,17.72,16.07,15.17,15.12
Mongolia,4.86,7.24,6.36,5.38,5.44
Mozambique,3.43,3.45,3.45,3.46,3.47
Mauritania,10.14,10.26,10.34,10.39,10.39
Mauritius,7.41,6.81,6.75,6.43,6.33
Malawi,5.86,5.82,5.76,5.76,5.75
Malaysia,3.1,3.44,3.41,3.3,3.26
North America,5.46,5.1,4.58,4.11,3.89
Namibia,20.91,23.35,21.64,19.88,19.99
New Caledonia,14.73,14.69,14.78,14.85,14.91
Niger,0.53,0.53,0.54,0.55,0.55
Nigeria,4.31,7.06,8.39,8.46,8.53
Nicaragua,4.7,3.9,3.3,5.2,5.21
Netherlands,6.87,6.01,4.84,3.83,3.38
Norway,4.3,4.68,4.16,3.8,3.69
Nepal,3.1,2.87,3.32,3.19,3.1
New Zealand,5.41,5.15,4.74,4.33,4.11
OECD members,6.85,6.43,5.9,5.46,5.4
Oman,3.39,3.27,2.57,1.8,1.85
Other small states,10.61,10.61,10.28,9.92,9.79
Pakistan,3.57,3.78,3.92,4.08,3.54
Panama,2.98,3.26,3.86,3.83,4.73
Peru,3.27,3.74,3.69,3.49,3.38
Philippines,3.07,2.7,2.55,2.34,2.24
Papua New Guinea,2.48,2.48,2.51,2.56,2.45
Poland,7.5,6.16,4.89,3.85,3.28
Pre-demographic dividend,5.19,5.68,6.06,6.13,6.2
Puerto Rico,12.0,11.8,10.8,9.2,8.3
"Korea, Dem. People's Rep.",2.74,2.76,2.7,2.63,2.59
Portugal,12.44,11.07,8.87,6.99,6.46
Paraguay,4.56,5.25,4.61,6.22,6.59
West Bank and Gaza,23.0,23.94,25.68,26.26,25.34
Pacific island small states,2.88,2.83,2.82,2.85,2.88
Post-demographic dividend,6.87,6.4,5.84,5.29,4.95
French Polynesia,12.17,12.18,12.21,12.25,12.3
Qatar,0.17,0.15,0.14,0.11,0.1
Romania,6.81,5.9,4.93,4.19,3.91
Russian Federation,5.57,5.56,5.21,4.85,4.5
Rwanda,1.15,1.14,1.14,1.11,1.1
South Asia,5.14,5.15,5.12,5.12,5.02
Saudi Arabia,5.59,5.65,5.89,6.04,5.67
Sudan,17.49,17.52,17.53,17.58,17.65
Senegal,6.76,4.46,3.69,3.28,2.86
Singapore,3.79,4.08,4.2,3.64,3.1
Solomon Islands,0.73,0.7,0.71,0.72,0.75
Sierra Leone,4.74,4.66,4.66,4.66,4.65
El Salvador,4.0,4.42,4.39,4.01,4.17
Somalia,18.9,18.89,18.88,18.85,18.83
Serbia,17.66,15.26,13.48,12.73,10.39
Sub-Saharan Africa (excluding high income),5.82,6.24,6.47,6.48,6.61
South Sudan,12.27,12.3,12.25,12.24,12.23
Sub-Saharan Africa,5.82,6.24,6.47,6.48,6.61
Small states,10.2,10.21,9.8,9.34,9.11
Sao Tome and Principe,13.82,13.89,13.97,14.06,14.14
Suriname,7.22,7.92,7.9,7.93,8.04
Slovak Republic,11.48,9.67,8.13,6.54,5.75
Slovenia,8.96,8.0,6.56,5.11,4.45
Sweden,7.43,6.99,6.72,6.36,6.83
Eswatini,23.33,22.72,22.75,22.79,22.84
Syrian Arab Republic,8.71,8.73,8.75,8.76,8.77
Chad,1.07,1.1,1.12,1.13,1.12
East Asia & Pacific (IDA & IBRD countries),4.12,4.04,3.93,3.81,3.91
